year,city,city_avg_temp,global_avg_temp
1750,Madrid,12.01,8.72
1751,Madrid,12.71,7.98
1752,Madrid,7.07,5.78
1753,Madrid,11.47,8.39
1754,Madrid,11.49,8.47
1755,Madrid,11.17,8.36
1756,Madrid,11.50,8.85
1757,Madrid,11.34,9.02
1758,Madrid,10.24,6.74
1759,Madrid,11.35,7.99
1760,Madrid,10.92,7.19
1761,Madrid,11.53,8.77
1762,Madrid,11.43,8.61
1763,Madrid,10.79,7.50
1764,Madrid,11.46,8.40
1765,Madrid,11.48,8.25
1766,Madrid,11.34,8.41
1767,Madrid,11.45,8.22
1768,Madrid,10.77,6.78
1769,Madrid,11.23,7.69
1770,Madrid,11.08,7.69
1771,Madrid,11.57,7.85
1772,Madrid,12.18,8.19
1773,Madrid,11.15,8.22
1774,Madrid,11.79,8.77
1775,Madrid,11.93,9.18
1776,Madrid,11.43,8.30
1777,Madrid,11.27,8.26
1778,Madrid,11.62,8.54
1779,Madrid,11.80,8.98
1780,Madrid,12.21,9.43
1781,Madrid,11.85,8.10
1782,Madrid,10.84,7.90
1783,Madrid,11.40,7.68
1784,Madrid,11.15,7.86
1785,Madrid,10.95,7.36
1786,Madrid,11.36,8.26
1787,Madrid,11.51,8.03
1788,Madrid,11.98,8.45
1789,Madrid,10.72,8.33
1790,Madrid,11.57,7.98
1791,Madrid,11.59,8.23
1792,Madrid,11.58,8.09
1793,Madrid,11.57,8.23
1794,Madrid,11.46,8.53
1795,Madrid,11.56,8.35
1796,Madrid,11.36,8.27
1797,Madrid,11.19,8.51
1798,Madrid,11.53,8.67
1799,Madrid,11.02,8.51
1800,Madrid,11.95,8.48
1801,Madrid,11.74,8.59
1802,Madrid,11.90,8.58
1803,Madrid,11.61,8.50
1804,Madrid,12.06,8.84
1805,Madrid,11.10,8.56
1806,Madrid,11.74,8.43
1807,Madrid,11.13,8.28
1808,Madrid,10.47,7.63
1809,Madrid,10.65,7.08
1810,Madrid,10.40,6.92
1811,Madrid,10.84,6.86
1812,Madrid,10.43,7.05
1813,Madrid,10.66,7.74
1814,Madrid,10.26,7.59
