year,number_countries
1743,38
1744,38
1745,38
1746,38
1747,38
1748,38
1749,38
1750,38
1751,38
1752,38
1753,43
1754,43
1755,43
1756,43
1757,43
1758,44
1759,44
1760,44
1761,44
1762,44
1763,44
1764,44
1765,44
1766,44
1767,44
1768,44
1769,44
1770,44
1771,44
1772,44
1773,44
1774,44
1775,44
1776,44
1777,44
1778,44
1779,44
1780,46
1781,46
1782,46
1783,46
1784,46
1785,46
1786,46
1787,48
1788,48
1789,48
1790,48
1791,50
1792,50
1793,50
1794,50
1795,50
1796,55
1797,55
1798,55
1799,55
1800,55
1801,55
1802,55
1803,55
1804,55
1805,55
1806,55
1807,55
1808,59
1809,59
1810,59
1811,59
1812,60
1813,60
1814,60
1815,60
1816,63
1817,63
1818,63
1819,63
1820,64
1821,64
1822,64
1823,64
1824,72
1825,79
1826,80
1827,80
1828,80
1829,80
1830,80
1831,80
1832,83
1833,84
1834,84
1835,84
1836,84
1837,85
1838,85
1839,86
1840,86
1841,88
1842,88
1843,92
1844,92
1845,93
1846,93
1847,93
1848,93
1849,105
1850,116
1851,116
1852,116
1853,117
1854,117
1855,120
1856,126
1857,132
1858,132
1859,132
1860,132
1861,132
1862,132
1863,132
1864,133
1865,133
1866,133
1867,133
1868,133
1869,133
1870,133
1871,133
1872,133
1873,133
1874,133
1875,133
1876,133
1877,133
1878,133
1879,133
1880,133
1881,134
1882,135
1883,135
1884,135
1885,135
1886,135
1887,135
1888,135
1889,135
1890,135
1891,135
1892,135
1893,135
1894,135
1895,135
1896,135
1897,135
1898,135
1899,135
1900,135
1901,135
1902,135
1903,135
1904,135
1905,135
1906,135
1907,135
1908,135
1909,135
1910,135
1911,135
1912,135
1913,135
1914,135
1915,135
1916,135
1917,135
1918,135
1919,135
1920,135
1921,135
1922,135
1923,135
1924,135
1925,135
1926,135
1927,135
1928,135
1929,135
1930,135
1931,135
1932,135
1933,135
1934,135
1935,135
1936,135
1937,135
1938,135
1939,135
1940,135
1941,135
1942,135
1943,135
1944,135
1945,135
1946,135
1947,135
1948,135
1949,135
1950,135
1951,135
1952,135
1953,135
1954,135
1955,135
1956,135
1957,135
1958,135
1959,135
1960,135
1961,135
1962,135
1963,135
1964,135
1965,135
1966,135
1967,135
1968,135
1969,135
1970,135
1971,135
1972,135
1973,135
1974,135
1975,135
1976,135
1977,135
1978,135
1979,135
1980,135
1981,135
1982,135
1983,135
1984,135
1985,135
1986,135
1987,135
1988,135
1989,135
1990,135
1991,135
1992,135
1993,135
1994,135
1995,135
1996,135
1997,135
1998,135
1999,135
2000,135
2001,135
2002,135
2003,135
2004,135
2005,135
2006,135
2007,135
2008,135
2009,135
2010,135
2011,135
2012,135
2013,135
